epoch,accuracy,val_accuracy,loss,val_loss
1.0,0.1965,0.459,2.4707,1.7486
2.0,0.4303,0.6028,1.7758,1.3381
3.0,0.5651,0.6675,1.4155,1.1082
4.0,0.6334,0.7087,1.2077,0.9628
5.0,0.676,0.7385,1.0801,0.8629
6.0,0.7116,0.7659,0.9673,0.7843
7.0,0.7366,0.7842,0.8869,0.7218
8.0,0.7574,0.8011,0.8233,0.6656
9.0,0.7701,0.8189,0.7658,0.6154
10.0,0.7896,0.8317,0.7182,0.5712
11.0,0.8038,0.8446,0.6704,0.5325
12.0,0.8187,0.8522,0.627,0.5001
13.0,0.8285,0.868,0.5866,0.4576
14.0,0.8394,0.8791,0.5485,0.4252
15.0,0.8506,0.8881,0.5174,0.3964
16.0,0.8585,0.8965,0.4824,0.3643
17.0,0.8696,0.9056,0.4505,0.3349
18.0,0.882,0.9146,0.4099,0.3091
19.0,0.8881,0.9223,0.3917,0.2823
20.0,0.898,0.9284,0.3569,0.2582
21.0,0.9046,0.936,0.3289,0.2343
22.0,0.913,0.9383,0.3053,0.218
23.0,0.918,0.947,0.2854,0.1939
24.0,0.9282,0.9541,0.2526,0.1749
25.0,0.9344,0.9579,0.2324,0.1577
26.0,0.9387,0.962,0.2188,0.143
27.0,0.9448,0.9646,0.2007,0.1298
28.0,0.9477,0.9687,0.1818,0.1174
29.0,0.9547,0.9727,0.1662,0.1046
30.0,0.9564,0.9763,0.1541,0.0932
31.0,0.9602,0.9774,0.1445,0.084
32.0,0.9659,0.9801,0.1278,0.0748
33.0,0.9674,0.9833,0.1156,0.0663
34.0,0.9691,0.9851,0.1104,0.0605
35.0,0.9731,0.987,0.097,0.0542
36.0,0.9761,0.9884,0.0899,0.0485
37.0,0.9789,0.9899,0.0804,0.0438
38.0,0.9778,0.9916,0.0793,0.0393
39.0,0.9816,0.9928,0.0698,0.0349
40.0,0.9822,0.9939,0.0658,0.0316
41.0,0.9827,0.9947,0.0619,0.0286
42.0,0.9857,0.9961,0.054,0.0247
43.0,0.9874,0.9962,0.0496,0.0224
44.0,0.9882,0.9966,0.0463,0.0196
45.0,0.9887,0.9971,0.0424,0.0178
46.0,0.9903,0.9976,0.0383,0.0163
47.0,0.9914,0.9976,0.0372,0.0142
48.0,0.9907,0.9978,0.0355,0.0141
49.0,0.992,0.9985,0.0323,0.0129
50.0,0.9924,0.9989,0.0312,0.01
